chembl_id,drug_name,SMILES,KG_relevance,Evidence_strength,ADMET_safety,Composite_score,Confidence,Evidence_Summary,Sources
CHEMBL107,COLCHICINE,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,76.73913043478261,100,100.0,90.69565217391305,H,"KG targets TUBB, TUBB1; clinical phase 4.0; logS -1.12; logP 2.87",repurposing_candidates.csv:rc_row=21;protein_drug_candidates.csv:rows=821;1554;1989;2228;2333;2397;2704;2768;2832;pathway_drug_candidates.csv:rows=1534;1598;1662;1726;1790;1854;1918;2083;2147;2211;2275;2339;2403;2467;2531;2595;2659;2723;2787;2851;2915;2979;3049;3113;3177;3241;3305;3369;3433;3497;3561;3652;3716;3780;3844;3908;3972;4039;CYP3A4_results.csv:row=21;CYP2C19_results.csv:row=21;CYP2D6_results.csv:row=21;CYP1A2_results.csv:row=21;CYP2C9_results.csv:row=21;hERG_results.csv:row=21;AMES_results.csv:row=21;PGP_results.csv:row=21;PAMPA_results.csv:row=21;BBB_results.csv:row=21;Solubility_results.csv:row=21;Lipophilicity_results.csv:row=21
CHEMBL1201752,IXABEPILONE,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)N1,76.73913043478261,100,100.0,90.69565217391305,H,"KG targets TUBB, TUBB1; clinical phase 4.0; logS -3.06; logP 4.05",repurposing_candidates.csv:rc_row=309;protein_drug_candidates.csv:rows=808;1540;1975;2217;2319;2385;2692;2756;2820;pathway_drug_candidates.csv:rows=1521;1585;1649;1713;1777;1841;1905;2070;2134;2198;2262;2326;2390;2454;2518;2582;2646;2710;2774;2838;2902;2966;3036;3100;3164;3228;3292;3356;3420;3484;3548;3639;3703;3767;3831;3895;3959;4026;CYP3A4_results.csv:row=278;CYP2C19_results.csv:row=278;CYP2D6_results.csv:row=278;CYP1A2_results.csv:row=278;CYP2C9_results.csv:row=278;hERG_results.csv:row=278;AMES_results.csv:row=278;PGP_results.csv:row=278;PAMPA_results.csv:row=278;BBB_results.csv:row=278;Solubility_results.csv:row=278;Lipophilicity_results.csv:row=279
CHEMBL1683544,ERIBULIN MESYLATE,C=C1C[C@@H]2CC[C@@]34C[C@H]5O[C@H]6[C@@H](O3)[C@H]3O[C@H](CC[C@@H]3O[C@H]6[C@H]5O4)CC(=O)C[C@@H]3[C@@H](OC)[C@@H](C[C@H](O)CN)O[C@H]3C[C@H]3O[C@@H](CC[C@@H]1O2)C[C@@H](C)C3=C.CS(=O)(=O)O,76.73913043478261,100,100.0,90.69565217391305,H,"KG targets TUBB, TUBB1; clinical phase 4.0; logS -0.19; logP 2.94",repurposing_candidates.csv:rc_row=507;protein_drug_candidates.csv:rows=811;1541;1976;2214;2320;2386;2693;2757;2821;pathway_drug_candidates.csv:rows=1524;1588;1652;1716;1780;1844;1908;2073;2137;2201;2265;2329;2393;2457;2521;2585;2649;2713;2777;2841;2905;2969;3039;3103;3167;3231;3295;3359;3423;3487;3551;3642;3706;3770;3834;3898;3962;4029;CYP3A4_results.csv:row=467;CYP2C19_results.csv:row=467;CYP2D6_results.csv:row=467;CYP1A2_results.csv:row=467;CYP2C9_results.csv:row=467;hERG_results.csv:row=467;AMES_results.csv:row=467;PGP_results.csv:row=467;PAMPA_results.csv:row=467;BBB_results.csv:row=467;Solubility_results.csv:row=467;Lipophilicity_results.csv:row=468
CHEMBL2068724,ACAMPROSATE CALCIUM,CC(=O)NCCCS(=O)(=O)[O-].CC(=O)NCCCS(=O)(=O)[O-].[Ca+2],79.73684210526315,100,95.0,90.64473684210526,H,"KG targets GABRA1, GABRA2; clinical phase 4.0; logS -0.76; logP -2.27",repurposing_candidates.csv:rc_row=642;protein_drug_candidates.csv:rows=505;713;1434;1520;1611;1658;1704;1746;1779;1800;1873;1934;1957;2065;2111;2185;2472;2559;2581;2606;2629;2650;2674;pathway_drug_candidates.csv:rows=3619;6803;6830;6857;6890;7048;7075;7102;7129;CYP3A4_results.csv:row=588;CYP2C19_results.csv:row=588;CYP2D6_results.csv:row=588;CYP1A2_results.csv:row=588;CYP2C9_results.csv:row=588;hERG_results.csv:row=588;AMES_results.csv:row=588;PGP_results.csv:row=588;PAMPA_results.csv:row=588;BBB_results.csv:row=588;Solubility_results.csv:row=588;Lipophilicity_results.csv:row=589
CHEMBL1200694,SEVOFLURANE,FCOC(C(F)(F)F)C(F)(F)F,80.80091533180779,95,100.0,90.57036613272311,H,"KG targets GABRA1, GABRA2; clinical phase 3.0; logS -1.90; logP 2.42",repurposing_candidates.csv:rc_row=153;protein_drug_candidates.csv:rows=509;524;527;532;537;540;1404;1438;1523;1662;1708;1749;1782;1803;1876;1937;2069;2115;2476;2562;2585;2633;pathway_drug_candidates.csv:rows=0;3;6;9;12;17;22;7724;7729;7904;CYP3A4_results.csv:row=151;CYP2C19_results.csv:row=151;CYP2D6_results.csv:row=151;CYP1A2_results.csv:row=151;CYP2C9_results.csv:row=151;hERG_results.csv:row=151;AMES_results.csv:row=151;PGP_results.csv:row=151;PAMPA_results.csv:row=151;BBB_results.csv:row=151;Solubility_results.csv:row=151;Lipophilicity_results.csv:row=152
CHEMBL428647,PACLITAXEL,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,76.73913043478261,100,85.0,86.94565217391305,H,"KG targets TUBB, TUBB1; clinical phase 4.0; logS -6.18; logP 3.74",repurposing_candidates.csv:rc_row=1154;protein_drug_candidates.csv:rows=810;1544;1978;2218;2322;2384;2691;2758;2819;pathway_drug_candidates.csv:rows=1523;1587;1651;1715;1779;1843;1907;2072;2136;2200;2264;2328;2392;2456;2520;2584;2648;2712;2776;2840;2904;2968;3038;3102;3166;3230;3294;3358;3422;3486;3550;3641;3705;3769;3833;3897;3961;4028;CYP3A4_results.csv:row=1018;CYP2C19_results.csv:row=1018;CYP2D6_results.csv:row=1018;CYP1A2_results.csv:row=1018;CYP2C9_results.csv:row=1018;hERG_results.csv:row=1018;AMES_results.csv:row=1018;PGP_results.csv:row=1018;PAMPA_results.csv:row=1018;BBB_results.csv:row=1018;Solubility_results.csv:row=1018;Lipophilicity_results.csv:row=1019
CHEMBL3545252,DOCETAXEL,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C.O.O.O,76.73913043478261,100,85.0,86.94565217391305,H,"KG targets TUBB, TUBB1; clinical phase 4.0; logS -6.30; logP 0.79",repurposing_candidates.csv:rc_row=985;protein_drug_candidates.csv:rows=807;1543;1977;2216;2321;2383;2690;2754;2818;pathway_drug_candidates.csv:rows=1520;1584;1648;1712;1776;1840;1904;2069;2133;2197;2261;2325;2389;2453;2517;2581;2645;2709;2773;2837;2901;2965;3035;3099;3163;3227;3291;3355;3419;3483;3547;3638;3702;3766;3830;3894;3958;4025;CYP3A4_results.csv:row=879;CYP2C19_results.csv:row=879;CYP2D6_results.csv:row=879;CYP1A2_results.csv:row=879;CYP2C9_results.csv:row=879;hERG_results.csv:row=879;AMES_results.csv:row=879;PGP_results.csv:row=879;PAMPA_results.csv:row=879;BBB_results.csv:row=879;Solubility_results.csv:row=879;Lipophilicity_results.csv:row=880
CHEMBL1201748,CABAZITAXEL,CO[C@H]1C(=O)[C@]2(C)[C@@H](OC)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C,76.73913043478261,100,85.0,86.94565217391305,H,"KG targets TUBB, TUBB1; clinical phase 4.0; logS -6.01; logP 4.57",repurposing_candidates.csv:rc_row=307;protein_drug_candidates.csv:rows=813;1546;1981;2220;2328;2392;2701;2763;2827;pathway_drug_candidates.csv:rows=1526;1590;1654;1718;1782;1846;1910;2075;2139;2203;2267;2331;2395;2459;2523;2587;2651;2715;2779;2843;2907;2971;3041;3105;3169;3233;3297;3361;3425;3489;3553;3644;3708;3772;3836;3900;3964;4031;CYP3A4_results.csv:row=276;CYP2C19_results.csv:row=276;CYP2D6_results.csv:row=276;CYP1A2_results.csv:row=276;CYP2C9_results.csv:row=276;hERG_results.csv:row=276;AMES_results.csv:row=276;PGP_results.csv:row=276;PAMPA_results.csv:row=276;BBB_results.csv:row=276;Solubility_results.csv:row=276;Lipophilicity_results.csv:row=277
CHEMBL4298167,FILGOTINIB MALEATE,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1.O=C(O)/C=C\C(=O)O,63.649885583524025,100,100.0,85.4599542334096,H,"KG targets JAK1, JAK2; clinical phase 4.0; logS -3.06; logP 1.69",repurposing_candidates.csv:rc_row=1246;protein_drug_candidates.csv:rows=760;783;1187;pathway_drug_candidates.csv:rows=185;208;405;647;670;784;4237;4269;4416;4523;4557;4580;4606;4636;4659;4685;4715;4738;4764;4784;4805;4822;4845;4871;4891;4914;4940;4957;4980;5006;5023;5046;5072;5090;5116;5133;5156;5182;5211;5232;5261;5282;5299;5322;5348;5365;5388;5414;5430;5459;5480;6912;6935;7469;8298;8326;8354;8388;8416;8444;CYP3A4_results.csv:row=1068;CYP2C19_results.csv:row=1068;CYP2D6_results.csv:row=1068;CYP1A2_results.csv:row=1068;CYP2C9_results.csv:row=1068;hERG_results.csv:row=1068;AMES_results.csv:row=1068;PGP_results.csv:row=1068;PAMPA_results.csv:row=1068;BBB_results.csv:row=1068;Solubility_results.csv:row=1068;Lipophilicity_results.csv:row=1069
CHEMBL5315119,UPADACITINIB HEMIHYDRATE,CC[C@@H]1CN(C(=O)NCC(F)(F)F)C[C@@H]1c1cnc2cnc3[nH]ccc3n12.CC[C@@H]1CN(C(=O)NCC(F)(F)F)C[C@@H]1c1cnc2cnc3[nH]ccc3n12.O,63.649885583524025,100,100.0,85.4599542334096,H,"KG targets JAK1, JAK2; clinical phase 4.0; logS -4.98; logP 4.99",repurposing_candidates.csv:rc_row=1394;protein_drug_candidates.csv:rows=761;784;1186;pathway_drug_candidates.csv:rows=186;209;404;648;671;783;4238;4268;4417;4522;4558;4581;4605;4637;4660;4684;4716;4739;4763;4785;4804;4823;4846;4870;4892;4915;4939;4958;4981;5005;5024;5047;5071;5091;5115;5134;5157;5181;5212;5231;5262;5281;5300;5323;5347;5366;5389;5413;5429;5460;5479;6913;6936;7470;8299;8327;8355;8389;8417;8445;CYP3A4_results.csv:row=1203;CYP2C19_results.csv:row=1203;CYP2D6_results.csv:row=1203;CYP1A2_results.csv:row=1203;CYP2C9_results.csv:row=1203;hERG_results.csv:row=1203;AMES_results.csv:row=1203;PGP_results.csv:row=1203;PAMPA_results.csv:row=1203;BBB_results.csv:row=1203;Solubility_results.csv:row=1203;Lipophilicity_results.csv:row=1204
CHEMBL3301607,FILGOTINIB,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,63.649885583524025,100,100.0,85.4599542334096,H,"KG targets JAK1, JAK2; clinical phase 4.0; logS -3.43; logP 1.98",repurposing_candidates.csv:rc_row=941;protein_drug_candidates.csv:rows=756;778;1183;pathway_drug_candidates.csv:rows=181;203;401;643;665;780;4233;4265;4412;4519;4553;4575;4602;4632;4654;4681;4711;4733;4760;4780;4801;4818;4840;4867;4887;4909;4936;4953;4975;5002;5019;5041;5068;5085;5112;5129;5151;5178;5207;5228;5257;5278;5295;5317;5344;5361;5383;5410;5426;5455;5476;6908;6930;7464;8293;8321;8349;8383;8411;8439;CYP3A4_results.csv:row=845;CYP2C19_results.csv:row=845;CYP2D6_results.csv:row=845;CYP1A2_results.csv:row=845;CYP2C9_results.csv:row=845;hERG_results.csv:row=845;AMES_results.csv:row=845;PGP_results.csv:row=845;PAMPA_results.csv:row=845;BBB_results.csv:row=845;Solubility_results.csv:row=845;Lipophilicity_results.csv:row=846
CHEMBL2105759,BARICITINIB,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,61.81922196796339,100,100.0,84.72768878718536,H,"KG targets JAK1, JAK2; clinical phase 4.0; logS -1.71; logP 1.10",repurposing_candidates.csv:rc_row=710;protein_drug_candidates.csv:rows=757;777;pathway_drug_candidates.csv:rows=182;202;644;664;4234;4413;4554;4574;4633;4653;4712;4732;4781;4819;4839;4888;4908;4954;4974;5020;5040;5084;5130;5150;5208;5258;5296;5316;5362;5382;5456;6909;6929;7463;8292;8320;8348;8382;8410;8438;CYP3A4_results.csv:row=655;CYP2C19_results.csv:row=655;CYP2D6_results.csv:row=655;CYP1A2_results.csv:row=655;CYP2C9_results.csv:row=655;hERG_results.csv:row=655;AMES_results.csv:row=655;PGP_results.csv:row=655;PAMPA_results.csv:row=655;BBB_results.csv:row=655;Solubility_results.csv:row=655;Lipophilicity_results.csv:row=656
CHEMBL1795071,RUXOLITINIB PHOSPHATE,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1.O=P(O)(O)O,61.81922196796339,100,100.0,84.72768878718536,H,"KG targets JAK1, JAK2; clinical phase 4.0; logS -2.99; logP 2.54",repurposing_candidates.csv:rc_row=577;protein_drug_candidates.csv:rows=762;786;pathway_drug_candidates.csv:rows=187;211;649;673;4239;4418;4559;4583;4638;4662;4717;4741;4786;4824;4848;4893;4917;4959;4983;5025;5049;5093;5135;5159;5213;5263;5301;5325;5367;5391;5461;6914;6938;7472;8301;8329;8357;8391;8419;8447;CYP3A4_results.csv:row=523;CYP2C19_results.csv:row=523;CYP2D6_results.csv:row=523;CYP1A2_results.csv:row=523;CYP2C9_results.csv:row=523;hERG_results.csv:row=523;AMES_results.csv:row=523;PGP_results.csv:row=523;PAMPA_results.csv:row=523;BBB_results.csv:row=523;Solubility_results.csv:row=523;Lipophilicity_results.csv:row=524
